Antecedente;Consequente;Suporte;Confiança;Lift;Rule Interest;Convicção;Score
MAIONESE_HELLMANN_S;CHOCLACTA;0,0123;0,1944;3,4257;0,0087;1,1709;0,1376;4,8409;2,4939;
CHOCLACTA;MAIONESE_HELLMANN_S;0,0123;0,2161;3,4257;0,0087;1,1952;0,1530;4,8409;2,5872;
CHOCNESTLE;BOMBRIL;0,0137;0,1936;3,0766;0,0092;1,1621;0,1307;4,2899;2,4071;
BOMBRIL;CHOCNESTLE;0,0137;0,2172;3,0766;0,0092;1,1873;0,1466;4,2899;2,5065;
SAL_CISNE;NISSIM_L_AMEM;0,0112;0,1806;3,7902;0,0083;1,1622;0,1329;5,4526;2,5252;
NISSIM_L_AMEM;SAL_CISNE;0,0112;0,2353;3,7902;0,0083;1,2265;0,1732;5,4526;2,7657;
MACRENATA,SPO_OMO;LEITE_MOCA;0,0106;0,6048;6,0340;0,0088;2,2767;0,5046;15,2414;5,6773;
LEITE_MOCA,SPO_OMO;MACRENATA;0,0106;0,3809;5,9905;0,0088;1,5125;0,3173;10,6706;4,2191;
LEITE_MOCA,MACRENATA;SPO_OMO;0,0106;0,4399;6,2374;0,0089;1,6595;0,3694;12,0023;4,6413;
SABLUX;CREME_DE_LEITE_NESTLE;0,0108;0,2514;3,4861;0,0077;1,2395;0,1793;4,9054;2,7121;
CREME_DE_LEITE_NESTLE;SABLUX;0,0108;0,1496;3,4861;0,0077;1,1255;0,1067;4,9054;2,2722;
LEITE_MOCA;CREME_DE_LEITE_NESTLE;0,0424;0,4229;5,8641;0,0352;1,6079;0,3508;21,4470;6,1454;
CREME_DE_LEITE_NESTLE;LEITE_MOCA;0,0424;0,5878;5,8641;0,0352;2,1826;0,4875;21,4470;7,0610;
MACRENATA,MAIONESE_HELLMANN_S;LEITE_MOCA;0,0104;0,6515;6,4998;0,0088;2,5817;0,5512;18,6015;6,2510;
LEITE_MOCA,MAIONESE_HELLMANN_S;MACRENATA;0,0104;0,3806;5,9857;0,0086;1,5118;0,3170;10,6176;4,2056;
LEITE_MOCA,MACRENATA;MAIONESE_HELLMANN_S;0,0104;0,4310;6,8336;0,0089;1,6466;0,3679;13,2698;4,7813;
SPO_OMO;BOMBRIL;0,0233;0,3300;5,2442;0,0188;1,3986;0,2671;11,0528;4,2951;
BOMBRIL;SPO_OMO;0,0233;0,3699;5,2442;0,0188;1,4750;0,2993;11,0528;4,4894;
LEITE_MOCA;CAFE_SERRA_DA_GRAMA;0,0167;0,1671;3,1326;0,0114;1,1366;0,1137;4,7323;2,4327;
CAFE_SERRA_DA_GRAMA;LEITE_MOCA;0,0167;0,3140;3,1326;0,0114;1,3116;0,2138;4,7323;3,0599;
CHOCNESTLE,COCA_COLA;ACUCAR_UNIAO;0,0110;0,3841;4,1273;0,0083;1,4726;0,2911;6,7565;3,5948;
ACUCAR_UNIAO,COCA_COLA;CHOCNESTLE;0,0110;0,2867;4,0604;0,0083;1,3030;0,2161;6,0799;3,0908;
ACUCAR_UNIAO,CHOCNESTLE;COCA_COLA;0,0110;0,5924;3,0516;0,0074;1,9771;0,3983;6,3347;4,2376;
SUCO_MAGUARY;BISCNESTLE;0,0155;0,3554;2,8188;0,0100;1,3558;0,2293;4,2158;3,0540;
BISCNESTLE;SUCO_MAGUARY;0,0155;0,1226;2,8188;0,0100;1,0902;0,0791;4,2158;2,0849;
GUARANA_ANTARTICA;BISCNABISCO;0,0117;0,1453;2,5095;0,0070;1,1022;0,0874;3,2118;1,9145;
BISCNABISCO;GUARANA_ANTARTICA;0,0117;0,2016;2,5095;0,0070;1,1518;0,1212;3,2118;2,1368;
LEITE_MOCA,SPO_OMO;CREME_DE_LEITE_NESTLE;0,0155;0,5570;7,7228;0,0135;2,0945;0,4849;20,3219;6,2221;
